date,day,personnel,POW
26-02-2022,3,4300,
28-02-2022,5,5300,
01-03-2022,6,5710,200
02-03-2022,7,5840,200
03-03-2022,8,9000,200
04-03-2022,9,9166,200
05-03-2022,10,10000,216
06-03-2022,11,11000,232
07-03-2022,12,11000,259
08-03-2022,13,12000,284
09-03-2022,14,12000,360
10-03-2022,15,12000,371
11-03-2022,16,12000,389
12-03-2022,17,12000,389
13-03-2022,18,12000,389
14-03-2022,19,12000,389
15-03-2022,20,13500,389
16-03-2022,21,13800,389
17-03-2022,22,14000,405
18-03-2022,23,14200,405
19-03-2022,24,14400,405
